NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
BAZMAN,IRAN,28.07,60.0,3490,STRATOVOLCANO,FUMAROLIC,U
BEHM CANAL-RUDYERD BAY,ALASKA-SE,55.32,-131.05,500,CINDER CONES,HOLOCENE?,?
BELENKAYA,KAMCHATKA,51.75,157.27,892,STRATOVOLCANO,HOLOCENE,U
BELIRANG-BERITI,SUMATRA,-2.82,102.18,1958,COMPOUND VOLCANO,FUMAROLIC,U
BELKNAP,US-OREGON,44.285,-121.841,2095,SHIELD VOLCANOES,RADIOCARBON,D6
BELY,KAMCHATKA,57.88,160.53,2080,SHIELD VOLCANOES,HOLOCENE,U
BERLIN,ANTARCTICA,-76.05,-136.0,3478,SHIELD VOLCANOES,FUMAROLIC,U
BERU,ETHIOPIA,8.95,39.75,1100,VOLCANIC FIELD,HOLOCENE,U
BERUTARUBE,KURIL IS,44.47,146.93,1220,STRATOVOLCANO,HOLOCENE,U
BESAR,SUMATRA,-4.43,103.67,1899,STRATOVOLCANO ?,HISTORICAL,D2
BEZYMIANNY,KAMCHATKA,55.978,160.587,2882,STRATOVOLCANO,HISTORICAL,D1
BIBINOI,HALMAHERA-INDONESIA,-0.78,127.72,900,STRATOVOLCANOES,HOLOCENE,U
BIG CAVE,US-CALIFORNIA,40.955,-121.365,1259,SHIELD VOLCANO,HOLOCENE?,?
BILATE RIVER FIELD,ETHIOPIA,7.07,38.1,1700,MAARS,HOLOCENE,U
BILIRAN,PHILIPPINES-C,11.523,124.534,1187,COMPOUND VOLCANO,HISTORICAL,D2
BILLY MITCHELL,BOUGAINVILLE-SW PACI,-6.092,155.225,1544,PYROCLASTIC SHIELD,RADIOCARBON,D5
BIR BORHUT,ARABIA-S,15.55,50.63,0,VOLCANIC FIELD,HOLOCENE?,?
BISHOFTU VOLC FIELD,ETHIOPIA,8.78,38.98,1850,FISSURE VENTS,HOLOCENE,U
BIU PLATEAU,AFRICA-W,10.75,12.0,0,VOLCANIC FIELD,HOLOCENE?,?
BLACK PEAK,ALASKA PENINSULA,56.53,-158.8,1032,STRATOVOLCANO,RADIOCARBON,D7
BLACK ROCK DESERT,US-UTAH,38.97,-112.5,1800,VOLCANIC FIELD,RADIOCARBON,D6
BLANCA,CHILE-C,-36.286,-71.009,2268,STRATOVOLCANO,HOLOCENE,U
BLIZNETS,KAMCHATKA,56.97,159.78,1244,STRATOVOLCANO,HOLOCENE,U
BLUE LAKE CRATER,US-OREGON,44.42,-121.77,1230,MAAR,RADIOCARBON,D7
BLUP BLUP,NEW GUINEA-NE OF,-3.508,144.62,402,STRATOVOLCANO,HOLOCENE,U
BOBROF,ALEUTIAN IS,51.9,-177.43,738,STRATOVOLCANO,HOLOCENE?,?
BOGATYR RIDGE,KURIL IS,44.83,147.37,1634,STRATOVOLCANO,HOLOCENE,U
BOGOSLOF,ALEUTIAN IS,53.93,-168.03,101,SUBMARINE VOLCANO,HISTORICAL,D1
BOINA,DJIBOUTI,11.25,41.83,300,FUMAROLE FIELD,PLEISTOCENE-FUMAROLIC,Q
BOISA,NEW GUINEA-NE OF,-3.994,144.963,240,STRATOVOLCANO,HOLOCENE?,U
BOLA,NEW BRITAIN-SW PAC,-5.15,150.03,1155,STRATOVOLCANO,HOLOCENE,U
BOLSHE-BANNAYA,KAMCHATKA,52.9,157.78,1200,LAVA DOMES,HOLOCENE,U
BOLSHOI PAYALPAN,KAMCHATKA,55.88,157.78,1906,SHIELD VOLCANOES,HOLOCENE,U
BOLSHOI SEMIACHIK,KAMCHATKA,54.32,160.02,1720,STRATOVOLCANOES,RADIOCARBON,D7
BOLSHOI-KEKUKNAYSKY,KAMCHATKA,56.47,157.8,1401,SHIELD VOLCANOES,HOLOCENE,U
BOMBALAI,BORNEO,4.4,117.88,531,PYROCLASTIC CONE,HOLOCENE?,?
BONA-CHURCHILL,ALASKA-E,61.38,-141.75,5005,STRATOVOLCANOES,RADIOCARBON,D6
BORA-BERICCIO COMPLEX,ETHIOPIA,8.27,39.03,2285,PUMICE CONES,HOLOCENE,U
BORALE ALE,ETHIOPIA,13.725,40.6,668,STRATOVOLCANO,HOLOCENE,U
BORAWLI,ETHIOPIA,13.3,40.98,812,STRATOVOLCANO,HOLOCENE,U
BORAWLI COMPLEX,ETHIOPIA,11.63,41.45,875,LAVA DOMES,HOLOCENE,U
BOSET-BERICHA,ETHIOPIA,8.558,39.475,2447,STRATOVOLCANOES,HOLOCENE,U
BOUVET,ATLANTIC-S,-54.42,3.35,780,SHIELD VOLCANO,MAGNETISM,D7
BRATAN,LESSER SUNDA IS,-8.28,115.13,2276,CALDERA,HOLOCENE,U
BRAVA,CAPE VERDE IS,14.85,-24.72,900,STRATOVOLCANO,HOLOCENE,U
BRAVO,COLOMBIA,5.092,-75.3,4000,STRATOVOLCANO,RADIOCARBON,D4
BRENNISTEINSFJOLL,ICELAND-SW,63.92,-21.83,626,CRATER ROWS,HISTORICAL,D6
BRIDGE RIVER CONES,CANADA,50.8,-123.4,2500,VOLCANIC FIELD,HOLOCENE,U
BRIDGEMAN ISLAND,ANTARCTICA,-62.05,-56.75,240,STRATOVOLCANO,UNCERTAIN,?
BRIMSTONE ISLAND,KERMADEC IS,-30.23,-178.92,-2000,SUBMARINE VOLCANO ?,UNCERTAIN,?
BRISTOL ISLAND,ANTARCTICA,-59.03,-26.58,1100,STRATOVOLCANO,HISTORICAL,D2
BRUSHY BUTTE,US-CALIFORNIA,41.178,-121.443,1174,SHIELD VOLCANO,HOLOCENE?,?
BUCKLE ISLAND,ANTARCTICA,-66.8,163.25,1239,STRATOVOLCANO,HISTORICAL,D3
BUD DAJO,SULU IS-PHILIPPINES,5.95,121.07,440,PYROCLASTIC CONES,HISTORICAL,D3
BUFUMBIRA,AFRICA-C,-1.23,29.72,2440,CINDER CONES,HOLOCENE?,?
BULDIR,ALEUTIAN IS,52.37,175.98,656,STRATOVOLCANO,HOLOCENE,U
BULUSAN,LUZON-PHILIPPINES,12.77,124.05,1565,STRATOVOLCANO,HISTORICAL,D1
BUNYARUGURU FIELD,AFRICA-C,-0.2,30.08,1554,EXPLOSION CRATERS,HOLOCENE,U
BURNEY,CHILE-S,-52.33,-73.4,1758,STRATOVOLCANO,HISTORICAL,D2
BUS-OBO,MONGOLIA,47.12,109.08,1162,CINDER CONE,HOLOCENE?,?
BUTAJIRI-SILTI FIELD,ETHIOPIA,8.05,38.35,2281,FISSURE VENTS,HOLOCENE,U
BUZZARD CREEK,ALASKA-E,64.07,-148.42,830,TUFF RINGS,RADIOCARBON,D7
CABALIAN,PHILIPPINES-C,10.287,125.22,945,STRATOVOLCANO,HOLOCENE,U
CABURGA,CHILE-C,-39.2,-71.83,995,CINDER CONES,TEPHROCHRONOLOGY,D7
CAGUA,LUZON-PHILIPPINES,18.222,122.123,1133,STRATOVOLCANO,HOLOCENE,U
CALABOZOS,CHILE-C,-35.558,-70.496,3508,CALDERA,HOLOCENE,U
CALAYO,MINDANAO-PHILIPPINES,7.877,125.068,646,TUFF CONE,HISTORICAL,D3
CALBUCO,CHILE-S,-41.326,-72.614,2003,STRATOVOLCANO,HISTORICAL,D2
CALLAQUI,CHILE-C,-37.92,-71.45,3164,STRATOVOLCANO,HISTORICAL,D1
CAMEROON,AFRICA-W,4.203,9.17,4095,STRATOVOLCANO,HISTORICAL,D1
CAMIGUIN DE BABUYANES,LUZON-N OF,18.83,121.86,712,STRATOVOLCANO,HISTORICAL,D3
CAMPI FLEGREI,ITALY,40.827,14.139,458,CALDERA,HISTORICAL,D5
CAMPI FLEGREI MAR SICILIA,ITALY,37.1,12.7,-8,SUBMARINE VOLCANOES,HISTORICAL,D3
CANDLEMAS ISLAND,ANTARCTICA,-57.08,-26.67,550,STRATOVOLCANO,HISTORICAL,D2
CANLAON,PHILIPPINES-C,10.412,123.132,2435,STRATOVOLCANO,HISTORICAL,D1
CARLISLE,ALEUTIAN IS,52.9,-170.05,1620,STRATOVOLCANO,HISTORICAL,D3
CARRAN-LOS VENADOS,CHILE-C,-40.35,-72.07,1114,PYROCLASTIC CONES,HISTORICAL,D1
CARRIZOZO,US-NEW MEXICO,33.78,-105.93,1731,CINDER CONE,HOLOCENE,U
CASIRI,PERU,-17.47,-69.82,5650,STRATOVOLCANO,HOLOCENE,U
CAYAMBE,ECUADOR,0.029,-77.986,5790,COMPOUND VOLCANO,HISTORICAL,D4
CAYUTE-LA VIGUERIA,CHILE-S,-41.25,-72.27,506,PYROCLASTIC CONES,HOLOCENE,U
CEBORUCO,MEXICO,21.125,-104.508,2280,STRATOVOLCANO,HISTORICAL,D3
CENDRES,SE ASIA,10.158,109.014,-20,SUBMARINE VOLCANOES,HISTORICAL,D2
CENTRAL ISLAND,AFRICA-E,3.5,36.042,550,STRATOVOLCANO,HOLOCENE,U
CEREME,JAVA,-6.892,108.4,3078,STRATOVOLCANO,HISTORICAL,D2
CH'UGA-RYONG,KOREA,38.33,127.33,452,SHIELD VOLCANO,HOLOCENE?,?
CHACANA,ECUADOR,-0.375,-78.25,4643,CALDERA,HISTORICAL,D4
CHACHANI,PERU,-16.191,-71.53,6057,STRATOVOLCANO,HOLOCENE,U
CHAGULAK,ALEUTIAN IS,52.57,-171.13,1142,STRATOVOLCANO,HOLOCENE,U
CHAINE DES PUYS,FRANCE,45.5,2.75,1464,CINDER CONES,RADIOCARBON,D7
CHAITEN,CHILE-S,-42.833,-72.646,962,CALDERA,HOLOCENE,U
CHAO,CHILE-N,-22.12,-68.15,5100,LAVA DOME,HOLOCENE?,?
CHAPULUL,CHILE-C,-38.37,-71.08,2143,CINDER CONE,HOLOCENE,U
CHASCON,BOLIVIA,-21.88,-67.9,5125,LAVA DOME,HOLOCENE,U
CHERNY,KAMCHATKA,56.82,159.67,1778,STRATOVOLCANO,HOLOCENE,U
CHICHINAUTZIN,MEXICO,19.08,-99.13,3930,VOLCANIC FIELD,RADIOCARBON,D6
CHICHON,MEXICO,17.36,-93.228,1150,TUFF CONES,HISTORICAL,D1
CHIGINAGAK,ALASKA PENINSULA,57.13,-157.0,2075,STRATOVOLCANO,HISTORICAL,D1
CHIKURACHKI,KURIL IS,50.325,155.458,1816,STRATOVOLCANOES,HISTORICAL,D1
CHILIQUES,CHILE-N,-23.58,-67.7,5778,STRATOVOLCANO,HOLOCENE,U
CHILLAN,CHILE-C,-36.863,-71.377,3212,STRATOVOLCANO,HISTORICAL,D1
CHINAMECA,EL SALVADOR,13.475,-88.32,1228,STRATOVOLCANO,HOLOCENE,U
CHINGO VOLC FIELD,GUATEMALA,14.12,-89.73,1775,STRATOVOLCANO,HOLOCENE,U
CHIQUIMULA VOLC FIELD,GUATEMALA,14.83,-89.55,1192,CINDER CONES,HOLOCENE,U
CHIRACHA,ETHIOPIA,6.65,38.12,1650,STRATOVOLCANO,HOLOCENE?,?
CHIRINKOTAN,KURIL IS,48.98,153.48,724,STRATOVOLCANO,HISTORICAL,D1
CHIRIP,KURIL IS,45.38,147.92,1589,STRATOVOLCANOES,HISTORICAL,D3
CHIRPOI,KURIL IS,46.525,150.875,742,CALDERA,HISTORICAL,D1
CHOKAI,HONSHU-JAPAN,39.08,140.03,2237,STRATOVOLCANOES,HISTORICAL,D1
CHYULU HILLS,AFRICA-E,-2.68,37.88,2188,VOLCANIC FIELD,ANTHROPOLOGY,D3
CIGUATEPE,NICARAGUA,12.53,-86.142,603,STRATOVOLCANO,HOLOCENE?,?
CINNAMON BUTTE,US-OREGON,43.241,-122.108,1956,CINDER CONES,HOLOCENE?,?
CINOTEPEC,EL SALVADOR,14.02,-89.25,665,VOLCANIC FIELD,HOLOCENE,U
CLEAR LAKE,US-CALIFORNIA,38.97,-122.77,1439,VOLCANIC FIELD,HOLOCENE,U
CLEFT SEGMENT,PACIFIC-NE,44.83,-130.3,-2140,SUBMARINE VOLCANO,HISTORICAL,D1
CLEVELAND,ALEUTIAN IS,52.82,-169.95,1730,STRATOVOLCANO,HISTORICAL,D1
